126.63	4.75	60.79
124.02	4.80	58.59
121.81	4.85	56.76
119.98	4.90	55.26
118.47	4.94	54.03
117.26	4.98	53.04
116.30	5.01	52.25
115.55	5.05	51.62
114.99	5.08	51.10
114.57	5.12	50.65
114.15	5.15	49.74
113.80	5.19	48.83
113.53	5.22	48.18
113.35	5.25	47.91
113.23	5.28	48.20
113.05	5.29	49.93
113.00	5.30	51.97
113.13	5.30	54.13
113.52	5.31	56.20
114.43	5.31	57.81
115.50	5.31	59.06
116.66	5.30	59.83
117.80	5.30	59.64
118.86	5.30	58.52
119.75	5.30	57.15
120.40	5.30	55.78
120.44	5.29	55.34
120.20	5.29	55.15
119.75	5.29	55.09
119.20	5.29	55.04
118.64	5.29	54.81
118.06	5.29	54.57
117.49	5.28	54.31
116.96	5.28	54.03
116.70	5.27	53.66
116.52	5.27	53.31
116.38	5.26	53.01
116.27	5.27	52.78
116.09	5.28	52.72
115.80	5.29	52.93
115.52	5.32	53.21
115.30	5.38	53.53
115.16	5.46	53.87
115.22	5.61	54.27
115.39	5.79	54.59
115.62	5.99	54.74
115.90	6.20	54.67
116.35	6.40	53.75
116.76	6.60	52.68
117.04	6.80	51.65
117.07	7.01	50.91
116.40	7.25	51.14
115.56	7.49	51.65
114.65	7.72	52.33
113.79	7.92	53.09
113.50	8.07	53.54
113.34	8.19	53.95
113.29	8.27	54.31
113.30	8.32	54.61
113.30	8.33	54.79
113.16	8.29	54.76
113.05	8.22	54.71
113.01	8.12	54.72
113.05	8.00	54.81
113.23	7.86	55.18
113.54	7.71	55.75
113.96	7.54	56.46
114.51	7.37	57.29
115.40	7.20	58.44
116.48	7.04	59.75
117.44	6.88	60.90
118.15	6.72	61.75
117.91	6.55	61.54
117.25	6.38	60.84
116.43	6.22	59.95
115.60	6.07	59.03
115.53	5.94	58.91
115.62	5.83	58.97
115.81	5.72	59.11
116.03	5.64	59.27
116.18	5.58	59.31
116.02	5.54	58.93
115.83	5.52	58.52
115.64	5.51	58.16
115.49	5.50	57.89
115.51	5.49	58.00
115.67	5.47	58.40
115.85	5.46	58.86
116.02	5.44	59.32
116.09	5.42	59.63
116.06	5.40	59.75
115.97	5.38	59.79
115.85	5.37	59.78
115.68	5.35	59.71
115.48	5.33	59.61
115.27	5.31	59.49
115.06	5.29	59.38
114.87	5.28	59.32
114.78	5.26	59.42
114.70	5.24	59.55
114.61	5.22	59.69
114.49	5.20	59.80
114.21	5.18	59.85
113.85	5.17	59.83
113.52	5.15	59.77
113.24	5.13	59.68
113.22	5.12	59.48
113.39	5.11	59.23
113.58	5.11	59.03
113.74	5.11	58.92
113.66	5.10	59.15
113.44	5.10	59.56
113.18	5.10	60.03
112.90	5.10	60.49
112.72	5.09	60.74
112.58	5.09	60.88
112.45	5.09	60.94
112.31	5.09	60.96
112.10	5.08	60.90
111.83	5.08	60.80
111.57	5.08	60.69
111.35	5.07	60.61
111.25	5.07	60.60
111.29	5.07	60.71
111.35	5.07	60.85
111.41	5.07	60.99
111.37	5.07	61.13
111.22	5.07	61.23
111.05	5.07	61.30
110.89	5.07	61.31
110.79	5.07	61.12
110.76	5.07	60.78
110.77	5.07	60.45
110.80	5.07	60.20
110.82	5.07	60.17
110.81	5.07	60.53
110.84	5.07	61.01
110.95	5.07	61.55
111.19	5.08	62.08
111.62	5.08	62.53
112.12	5.08	62.94
112.67	5.09	63.25
113.19	5.09	63.39
113.67	5.10	63.35
114.12	5.10	63.24
114.55	5.11	63.11
114.93	5.11	63.10
115.26	5.11	63.17
115.53	5.12	63.24
115.76	5.12	63.26
115.93	5.12	63.28
116.03	5.13	63.34
116.08	5.13	63.15
116.09	5.13	62.92
116.07	5.14	62.70
116.02	5.14	62.47
115.95	5.14	62.25
115.86	5.14	62.02
115.75	5.14	61.80
115.63	5.14	61.57
115.49	5.14	61.35
115.34	5.14	61.12
115.18	5.14	60.90
114.99	5.14	60.68
114.83	5.14	60.45
114.69	5.14	60.23
114.61	5.14	60.00
114.60	5.14	59.78
114.67	5.14	59.55
114.84	5.14	59.33
115.12	5.14	59.10
115.55	5.14	58.88
116.12	5.14	58.65
116.81	5.15	60.18
117.62	5.15	61.71
118.72	5.15	62.70
119.93	5.16	63.28
121.07	5.16	63.69
122.00	5.17	63.99
122.25	5.17	64.37
122.18	5.17	64.66
121.93	5.18	64.81
121.58	5.18	64.75
121.34	5.19	64.16
121.07	5.19	63.42
120.79	5.20	62.63
120.52	5.20	61.86
120.31	5.20	61.50
120.13	5.21	61.37
119.95	5.21	61.32
119.78	5.22	61.31
119.56	5.22	61.24
119.23	5.22	60.97
118.92	5.22	60.71
118.67	5.23	60.51
118.52	5.23	60.40
118.68	5.23	60.66
118.94	5.23	61.03
119.22	5.22	61.39
119.48	5.22	61.69
119.56	5.22	61.62
119.55	5.21	61.46
119.44	5.21	61.23
119.18	5.21	60.96
118.66	5.20	60.70
118.09	5.20	60.46
117.55	5.20	60.24
117.11	5.19	60.09
117.17	5.19	60.15
117.34	5.19	60.25
117.56	5.18	60.39
117.78	5.18	60.53
117.73	5.17	60.53
117.52	5.17	60.46
117.33	5.17	60.43
117.24	5.16	60.51
117.42	5.16	60.84
117.86	5.16	61.41
118.44	5.16	62.06
119.13	5.15	62.72
120.04	5.15	63.37
121.01	5.15	63.93
121.90	5.15	64.36
122.62	5.15	64.60
122.61	5.15	64.26
122.33	5.15	63.69
121.94	5.15	63.01
121.53	5.15	62.32
121.55	5.15	61.98
121.85	5.15	61.87
122.20	5.15	61.82
122.54	5.15	61.78
122.81	5.15	61.73
122.70	5.15	61.57
122.46	5.15	61.33
122.18	5.15	61.00
121.88	5.15	60.55
121.66	5.15	59.68
121.51	5.15	58.58
121.40	5.14	57.58
121.32	5.14	56.80
121.32	5.13	56.85
121.39	5.13	57.71
121.45	5.12	58.77
121.46	5.12	59.83
121.36	5.11	60.55
121.01	5.11	60.44
120.62	5.11	60.16
120.23	5.10	59.78
119.93	5.10	59.45
119.85	5.09	59.37
119.80	5.09	59.34
119.74	5.08	59.35
119.62	5.08	59.38
119.24	5.07	59.41
118.83	5.07	59.47
118.41	5.07	59.55
118.05	5.06	59.67
117.91	5.06	59.84
117.86	5.05	60.05
117.87	5.05	60.27
117.91	5.04	60.51
117.87	5.04	60.72
117.80	5.04	60.92
117.79	5.03	61.14
117.89	5.03	61.39
118.27	5.02	61.78
118.86	5.02	62.25
119.47	5.02	62.67
120.03	5.02	63.00
120.32	5.02	63.04
120.43	5.02	62.91
120.41	5.02	62.67
120.26	5.02	62.33
119.90	5.02	61.92
119.46	5.02	61.47
118.96	5.02	61.00
118.45	5.02	60.53
118.08	5.02	60.17
117.75	5.02	59.85
117.45	5.02	59.55
117.17	5.02	59.26
116.92	5.02	58.96
116.68	5.03	58.65
116.44	5.04	58.36
116.17	5.04	58.09
115.83	5.05	57.83
115.41	5.06	57.60
114.98	5.06	57.39
114.54	5.07	57.20
114.12	5.08	57.08
113.72	5.08	57.01
113.35	5.09	56.93
113.00	5.10	56.82
112.67	5.10	56.61
112.36	5.11	56.23
112.10	5.12	55.85
111.89	5.12	55.50
111.75	5.13	55.24
111.74	5.13	55.25
111.80	5.14	55.38
111.91	5.15	55.61
112.06	5.15	55.92
112.21	5.16	56.30
112.37	5.16	56.74
112.57	5.17	57.21
112.81	5.18	57.69
